model	score	params	duration
qwen2.5:0.5b	4170	0.5	1663923521
llama3.2:1b	4620	1	1878143250
qwen2.5:1.5b	7020	1.5	2338212312
codegemma:2b	210	2	261547250
gemma2:2b	7080	2	2778146583.5
phi3.5:3b	0	3	NaN
llama3.2:3b	4140	3	2363857187.5
starcoder2:3b	5160	3	2319796396
qwen2.5:3b	10010	3	2787761541
nomotron-mini:4b	0	4	NaN
llava:7b	3930	7	4192763666
starcoder2:7b	4510	7	1403994687.5
mistral:7b	9030	7	7064868625
codegemma:7b	12000	7	7224172687.5
qwen2.5:7b	15000	7	7702488312.5
gemma2:9b	15000	9	5362884833
mistral-nemo:12b	14010	12	8519473291.5
llava:13b	7790	13	8164520854.5
qwen2.5:14b	15000	14	12005338417
deepseek-coder-v2:16b	13860	16	3644637187.5
mistral-small:22b	14340	22	11491872125
deepseek-coder-v2:23b	0	23	NaN
gemma2:27b	15000	27	15841089812.5
qwen2.5:32b	15000	32	16510966187
llava:34b	8010	34	NaN
command-r:35b	11010	35	20646683979
mixtral:8x7b	13800	56	10285667750
qwen2.5:72b	15000	72	65253462729